key_id,year,trial_num,sales_rep,branch,state,zip_code,location,crop,treatment_type,growth_stage_applied,check_trt,treatment_with_rate,check_yield,trt_yield,trt_increase,pct_increase,std_dev,product_cost,application_cost,trt_cost,dollar_per_acre_increase,net_per_acre,roi,spatial_data,size,customer_info,product_1,rate_1,unit_1,product_2,rate_2,unit_2,product_3,rate_3,unit_3,product_4,rate_4,unit_4,product_5,rate_5,unit_5
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,199.7,212.2,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,189.7,198.8,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,218.9,220.9,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,195,192.6,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,246.3,249.2,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,251.5,250.7,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,214.5,224.9,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Dustin,Wholesale,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,215.5,219.8,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Lentz,Tripp,,,,Corn,Receptor,Starter,Untreated,Receptor,202.5,198.1,,,,$12.37 ,,,,,,,,,Receptor,,,,,,,,,,,,,,
,2024,,Holthusen,AST,,,,Corn,Fastand,Box Treatment,Talc Graphite,Fastand,187.9,206.8,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,61.75,63.28,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
,2024,,Plumski,Royalton,,,,Kidney Beans,Megafol,Foliar,Untreated,Megafol,3337,3170,,,,$11.08 ,,,,,,,,,Megafol,,,,,,,,,,,,,,
,2024,,Tyler,Iroquois,,,,Soybeans,Sulfur EZ,Foliar,Untreated,Sulfur EZ,55,58,,,,$6.06 ,,,,,,,,,Sulfur EZ,,,,,,,,,,,,,,
,2024,,Tyler,Iroquois,,,,Soybeans,Sulfur EZ + Fullscale,Foliar,Untreated,Sulfur EZ + Fullscale,55,62.5,,,,$16.73 ,,,,,,,,,Sulfur EZ,,,Fullscale,,,,,,,,,,,
,2024,,Tyler,Iroquois,,,,Alfalfa,Orbix,Foliar,Untreated,Orbix,0,35,,,,$15.69 ,,,,,,,,,Orbix,,,,,,,,,,,,,,
,2024,,Tyler,Iroquois,,,,Soybeans,Orbix + Sulfur EZ,Foliar,Untreated,Orbix + Sulfur EZ,55,55,,,,$21.75 ,,,,,,,,,Orbix,,,Sulfur EZ,,,,,,,,,,,
,2024,,Tyler,Iroquois,,,,Soybeans,Zypro,Starter,Untreated,Zypro,55,62,,,,$10.94 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Tyler,Iroquois,,,,Soybeans,Zypro,Starter,Untreated,Zypro,55,62,,,,$10.94 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Tyler,Iroquois,,,,Soybeans,Fullscale + Sultrus,Foliar,Untreated,Fullscale + Sultrus,55.9,56.7,,,,$18.63 ,,,,,,,,,Fullscale,,,Sultrus,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Fastand,Box Treatment,Untreated,Fastand,200,200,,,,$3.07 ,,,,,,,,,Fastand,,,,,,,,,,,,,,
,2024,,Harnisch,Freeman,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,53.05,56.9,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Cover XL + Tombstone,Foliar,Untreated,Cover XL + Tombstone,178,190,,,,$18.00 ,,,,,,,,,Cover XL,,,Tombstone,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Trivapro,Foliar,Untreated,Trivapro,205.7,212.8,,,,$26.47 ,,,,,,,,,Trivapro,,,,,,,,,,,,,,
,2024,,Hauger,Canby,,,,Soybeans,Viathon,Foliar,Untreated,Viathon,65.6,70.7,,,,$10.90 ,,,,,,,,,Viathon,,,,,,,,,,,,,,
,2024,,Hauger,Canby,,,,Corn,Receptor,Starter,Untreated,Receptor,244.8,251.2,,,,$12.37 ,,,,,,,,,Receptor,,,,,,,,,,,,,,
,2024,,Swanson,Menno,,,,Corn,Kickstand Zn + Zypro + Receptor,Starter,Untreated,Kickstand Zn + Zypro + Receptor,169.9,157.5,,,,$23.98 ,,,,,,,,,Kickstand Zn,,,Zypro,,,Receptor,,,,,,,,
,2024,,Ted,Canby,,,,Corn,Coron + Delaro Complete,Foliar,Untreated,Coron + Delaro Complete,235.3,244.1,,,,$41.10 ,,,,,,,,,Coron,,,Delaro Complete,,,,,,,,,,,
,2024,,Ted,Canby,,,,Corn,Coron + Delaro Complete,Foliar,Untreated,Coron + Delaro Complete,239.6,250.7,,,,$41.10 ,,,,,,,,,Coron,,,Delaro Complete,,,,,,,,,,,
,2024,,Hauger,Canby,,,,Soybeans,Viathon,Foliar,Untreated,Viathon,59.9,59.8,,,,$10.90 ,,,,,,,,,Viathon,,,,,,,,,,,,,,
,2024,,Hauger,Canby,,,,Soybeans,Viathon,Foliar,Untreated,Viathon,51.3,56.4,,,,$10.90 ,,,,,,,,,Viathon,,,,,,,,,,,,,,
,2024,,Molengraf,Clear Lake,,,,Corn,Quickshot,Box Treatment,Untreated,Quickshot,194.1,193.7,,,,$1.71 ,,,,,,,,,Quickshot,,,,,,,,,,,,,,
,2024,,Suess,Menno,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,48.4,52.4,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Suess,Menno,,,,Corn,Zypro,Starter,Untreated,Zypro,201.5,201.6,,,,$10.94 ,,,,,,,,,Zypro,,,,,,,,,,,,,,
,2024,,Suess,Menno,,,,Soybeans,Fullscale,Foliar,Untreated,Fullscale,32.5,33.4,,,,$10.82 ,,,,,,,,,Fullscale,,,,,,,,,,,,,,
,2024,,Suess,Menno,,,,Soybeans,Enertia,Seed Treatment,Untreated,Enertia,46.2,38.2,,,,$3.50 ,,,,,,,,,Enertia,,,,,,,,,,,,,,
